,Item,Title,Price,State,City,User
0,Iphone 7,iPhone 7 Apple 32gb Sellado Libre + Original Gtia + Templado,32989.99,Capital Federal,Palermo Soho,333535949
1,Iphone 7,iPhone 7 Apple 128gb Sellado Original Gtia 1 Ano + Templado!,39989.99,Capital Federal,Palermo Soho,333535949
2,Iphone 7,iPhone 7 Plus Apple 128gb 4g 4k Sellado Garantia 1 Ano Envio,49989.99,Capital Federal,Palermo Soho,333535949
3,Iphone 7,iPhone 7 Plus 32gb Nuevos Libres Garantia Envios + Templado,46989.99,Capital Federal,Palermo Soho,333535949
4,Iphone 7,iPhone 7 Apple 128gb Sellado + Original Garantia 1 Ano !!!,41498.0,Capital Federal,capital federal,128885
5,Iphone 7,Apple iPhone 7 32gb Lte 4g 4.7 Liberados Fabrica Garantia,36499.0,Capital Federal,Caballito,90262631
6,Iphone 7,iPhone 7 Apple 128gb Sellado Original + Garantia + Templado!,49989.99,Capital Federal,Palermo Soho,333535949
7,Iphone 7,Apple iPhone 7 128gb Lte 4g 4.7 Liberados Fabrica Sellados,40990.0,Capital Federal,Caballito,90262631
8,Iphone 7,Celular iPhone 7 32gb 2gb Ram Ios Apple Lte 4g Cuotas,23999.0,Capital Federal,C.A.B.A.,119914491
9,Iphone 7,Izalo: Apple iPhone 7 Plus 128gb Libres Con Garantia+ Local!,50999.0,Santa Fe,Rosario,124358771
10,Iphone 7,iPhone 7 Plus 128 Gb Nuevos Caja Sellada Originales,45850.0,Capital Federal,Belgrano R,92099663
11,Iphone 7,Apple iPhone 7 Plus 32gb Lte 4g Liberados Fabrica Garantia,43999.0,Capital Federal,Caballito,90262631
12,Iphone 7,iPhone 7 Plus 32gb Bueno Negro Liberado,25864.0,Capital Federal,Palermo,304248120
13,Iphone 7,Apple iPhone Plus 7 128gb 5.5' Retina 12mp 7mp 4k Sumergible,57379.99,Capital Federal,Las Canitas,78097118
14,Iphone 7,iPhone 7 32gb Nuevo En Caja Sellado Con 12 Meses D Garantia,31999.0,Capital Federal,Monserrat,279880032
15,Iphone 7,Apple iPhone Plus 7 32gb 5.5' Retina 12mp 4k 7mp Stereo,50979.99,Capital Federal,Las Canitas,78097118
16,Iphone 7,Apple iPhone 7 32gb 4.7' Retina 12mp 7mp 4k 2gb Sumergible,39879.99,Capital Federal,Las Canitas,78097118
17,Iphone 7,iPhone 7 Apple 32gb Sellado Libre + Original Garantia 1 Ano,36799.0,Capital Federal,capital federal,128885
18,Iphone 7,iPhone 7 Plus De 32gb Nuevo Libre Cn Gtia Envios!!,37300.0,Cordoba,Cordoba,189765251
19,Iphone 7,Celular iPhone 7 128gb 2gb Ram 12mp 7mp Apple Oferta Cuotas,29999.0,Capital Federal,Belgrano,309453406
20,Iphone 7,iPhone 7 Apple 32gb Plus 5.5 4g 4k Sellado + Garantia 1 Ano,46999.0,Capital Federal,capital federal,128885
21,Iphone 7,iPhone 7 32gb Muy Bueno Negro Liberado,19273.0,Capital Federal,Palermo,304248120
22,Iphone 7,Apple iPhone 7 Plus 256gb 5.5 12mp Liberados Gtia Templado!,49989.99,Capital Federal,Palermo Soho,333535949
23,Iphone 7,iPhone 7 Apple 128gb Plus 4g 4k Sellado + Garantia 1 Ano!!,49499.0,Capital Federal,capital federal,128885
24,Iphone 7,Apple iPhone 7 32gb  12mpx Liberados + Combo Accesorios,27470.0,Misiones,San Javier,258500012
25,Iphone 7,Apple iPhone 7 128gb 4.7' Retina 12mp 7mp 4k 2gb Sumergible,47179.99,Capital Federal,Las Canitas,78097118
26,Iphone 7,iPhone 7 - 128gb - A10 - 12 Mp / 4k - Retina Hd - 4.7 Rose,41999.99,Capital Federal,CAPITAL FEDERAL,280992944
27,Iphone 7,iPhone 7 32gb 6 Cuotas Tarjetas! Apple Caja Cerrada Sellada,36490.0,Santa Fe,Rosario,47188967
28,Iphone 7,iPhone 7-32gb -a10-12 Mp / 4k-retina Hd-4.7 Jet Black,36999.99,Capital Federal,CAPITAL FEDERAL,280992944
29,Iphone 7,iPhone 7 Plus 256gb,39000.0,Buenos Aires,san antonio de padua,122761332
30,Iphone 7,Apple iPhone 7 Plus 128gb Nuevos En Caja Sellados La Plata,45200.0,Buenos Aires,La Plata,120226721
31,Iphone 7,Celular iPhone 7 128gb 2gb Ram Ios Apple Lte 4g Cuotas ,29999.0,Capital Federal,C.A.B.A.,119914491
32,Iphone 7,Apple iPhone 7 128gb A10 4k Retina 12mp Libres En Stock Ya,29999.0,Capital Federal,MICRO CENTRO,216467614
33,Iphone 7,Apple iPhone 7 32gb 4.7'  12mp - 7mp- 4k 2gb Originales ,36999.0,Capital Federal,Balvanera,381021311
34,Iphone 7,Apple iPhone 7 32gb 4.7'  12mp - 7mp- 4k 2gb Sumergible,31000.0,Capital Federal,Balvanera,381021311
35,Iphone 7,iPhone 7 32 Gb  (todos Los Colores) Nuevo Originales Sellado,36999.0,Capital Federal,Caballito,3232855
