,usuarios,items,count,Nickname,Registration Date,Transactions Completed,Transactions Canceled,Positive Rating,Negative Rating,Neutral Rating
0,128885,Iphone 7,4,COMPUMAR,2000-01-12T00:00:00.000-04:00,10770,995,0.97,0.01,0.02
1,128885,Samsung s8,2,COMPUMAR,2000-01-12T00:00:00.000-04:00,10770,995,0.97,0.01,0.02
2,194643,Samsung s8,1,RASPA,2000-04-02T00:00:00.000-04:00,458,47,0.99,0.01,0.0
3,437271,Moto X Style,1,NOTRE DAME,2000-07-17T00:00:00.000-04:00,2651,132,0.99,0.0,0.01
4,437271,Samsung s8,5,NOTRE DAME,2000-07-17T00:00:00.000-04:00,2651,132,0.99,0.0,0.01
5,491201,Moto X Style,1,GEORGETE,2000-07-29T00:00:00.000-04:00,31,6,1.0,0.0,0.0
6,1410105,Samsung s8,1,AXELPOKANIAN,2006-11-05T19:20:26.000-04:00,105,12,0.96,0.0,0.04
7,3232855,Iphone 7,1,FACE_LIBRESCELL,2007-01-16T18:42:46.000-04:00,44,5,1.0,0.0,0.0
8,3232855,Samsung s8,1,FACE_LIBRESCELL,2007-01-16T18:42:46.000-04:00,44,5,1.0,0.0,0.0
9,3354481,Iphone 7,1,MATIENZO,2001-03-13T00:00:00.000-04:00,110,29,0.99,0.0,0.01
10,5601742,Iphone 7,1,MULTIMARCAS SHOP,2007-02-17T17:53:58.000-04:00,1241,77,1.0,0.0,0.0
11,9316603,Iphone 7,1,MARCOMP.COM.AR,2002-05-08T00:00:00.000-04:00,4839,97,1.0,0.0,0.0
12,10555379,Iphone 7,4,FACE-LIBRESCELLPILAR,2011-11-22T10:35:07.000-04:00,71,10,1.0,0.0,0.0
13,10555379,Samsung s8,5,FACE-LIBRESCELLPILAR,2011-11-22T10:35:07.000-04:00,71,10,1.0,0.0,0.0
14,12312876,Samsung s8,1,FLORIPONDIA19,2002-10-16T00:00:00.000-04:00,377,41,0.99,0.0,0.01
15,12911088,Samsung s8,1,SUPER-PC492,2011-12-07T18:53:44.000-04:00,463,21,0.98,0.01,0.01
16,17846983,Iphone 7,9,2003.CBM,2003-03-17T00:00:00.000-04:00,2327,59,0.99,0.0,0.01
17,19536340,Samsung s8,1,STEF.CITA,2007-06-10T16:36:06.000-04:00,449,7,0.99,0.0,0.01
18,21898084,Samsung s8,3,GUSEMA,2003-05-08T00:00:00.000-04:00,2051,290,0.99,0.0,0.01
19,22571795,Samsung s8,1,ELPIBEDELOESTE2014,2010-01-18T12:32:12.000-04:00,10,7,0.61,0.39,0.0
20,24155222,Iphone 7,1,CRISTIANC_09,2010-02-21T04:49:21.000-04:00,12,2,1.0,0.0,0.0
21,24626895,Iphone 7,1,EVE CORONEL,2010-03-02T18:59:39.000-04:00,6,5,0.86,0.14,0.0
22,29100470,Samsung s8,1,DORYPAU,2010-06-04T11:14:36.000-04:00,36,4,1.0,0.0,0.0
23,29556546,Samsung s8,2,DIGIOFERTASCBA,2010-06-15T15:22:37.000-04:00,51,11,1.0,0.0,0.0
24,29603319,Iphone 7,1,GUILLE_AGV,2003-10-05T06:51:22.000-04:00,96,2,1.0,0.0,0.0
25,31864362,Samsung s8,1,MATIASINGRATTA_77,2003-11-04T14:48:11.000-04:00,69,5,0.99,0.01,0.0
26,31917453,Iphone 7,1,ERNY8,2003-11-05T08:20:44.000-04:00,99,21,0.99,0.0,0.01
27,33726842,Samsung s8,1,SMARPHONEMANIA,2010-09-16T16:02:19.000-04:00,255,21,0.92,0.07,0.01
28,36684025,Samsung s8,1,ARALAB,2010-11-06T12:36:21.000-04:00,93,11,1.0,0.0,0.0
29,38772626,Iphone 7,1,GORILAGAMESFACE,2007-09-18T11:36:56.000-04:00,904,39,0.99,0.0,0.01
30,40502308,Iphone 7,1,NEWTOYS1,2007-10-09T22:58:55.000-04:00,127,8,1.0,0.0,0.0
31,41346155,Iphone 7,1,KASHMIR_MOCHILAS,2007-11-03T21:59:51.000-04:00,3606,333,0.99,0.0,0.01
32,42145203,Samsung s8,1,NUEVODIESEL,2007-11-26T20:52:45.000-04:00,14,1,1.0,0.0,0.0
33,42832970,Iphone 7,1,JIM_SALES,2007-12-14T19:56:45.000-04:00,98,5,1.0,0.0,0.0
34,42846946,Iphone 7,1,PARDERUBIAS.IMPORTADOS,2007-12-15T07:53:17.000-04:00,343,14,0.96,0.02,0.02
35,42904173,Iphone 7,1,ROSSETTI IMPORTACION,2007-12-15T18:51:33.000-04:00,68,23,0.85,0.04,0.11
36,44627242,Samsung s8,1,JUANMA_NAFTER,2008-02-10T18:59:47.000-04:00,1,0,1.0,0.0,0.0
37,45712012,Samsung s8,1,GABRIELMB2011,2011-02-08T18:15:18.000-04:00,44,7,0.95,0.05,0.0
38,47188967,Iphone 7,2,UPS_CELULARES_ROSARIO,2008-03-17T14:15:15.000-04:00,622,35,1.0,0.0,0.0
39,49007363,Iphone 7,1,ARIADON,2011-03-19T13:30:43.000-04:00,177,13,0.99,0.0,0.01
40,49011672,Iphone 7,1,BIG BANG ROCK,2008-04-30T12:47:52.000-04:00,7669,712,1.0,0.0,0.0
41,49215560,Iphone 7,1,KAJIN2011,2011-03-21T17:54:51.000-04:00,2096,104,0.99,0.0,0.01
42,52915878,Samsung s8,1,MOURI87,2008-08-02T15:36:38.000-04:00,1,0,1.0,0.0,0.0
43,59284209,Iphone 7,1,JUAN MANUEL4018_DRA,2008-04-15T21:35:00.000-04:00,57,6,0.96,0.0,0.04
44,61324083,Samsung s8,1,RAULCEREZUELA,2008-11-27T15:28:38.000-04:00,482,6,0.98,0.0,0.02
45,66057784,Samsung s8,1,ISJAA,2009-03-02T14:05:20.000-04:00,123,16,1.0,0.0,0.0
46,68837226,Samsung s8,1,MAPPLE_STORE,2012-01-17T15:56:02.000-04:00,44,13,0.99,0.01,0.0
47,75266732,Samsung s8,1,AMOR AMORES,2004-08-24T15:33:12.000-04:00,120,3,0.97,0.0,0.03
48,77447994,Iphone 7,3,SSVENTASONLINE,2009-05-25T22:58:19.000-04:00,1897,100,0.98,0.01,0.01
49,77971362,Samsung s8,1,POPONITIS,2005-01-07T08:24:46.000-04:00,106,7,0.97,0.02,0.01
50,77987535,Iphone 7,1,FERVALOTTA,2005-01-09T17:56:56.000-04:00,47,39,0.93,0.07,0.0
51,78008144,Iphone 7,2,CHIPMANIA,2005-01-13T18:53:57.000-04:00,2805,320,0.92,0.04,0.04
52,78008144,Samsung s8,3,CHIPMANIA,2005-01-13T18:53:57.000-04:00,2805,320,0.92,0.04,0.04
53,78097118,Iphone 7,4,ELECTRONIC STORE ARGENTINA,2005-01-17T14:55:23.000-04:00,3837,401,0.98,0.0,0.02
54,79835744,Iphone 7,1,KARITODEFLORES,2005-04-10T20:43:40.000-04:00,56,3,0.99,0.01,0.0
55,81700809,Iphone 7,1,NEWCELL ACCESORIOS,2005-06-18T16:11:08.000-04:00,18665,677,0.99,0.0,0.01
56,82356987,Iphone 7,1,MIARRIETA,2005-07-11T11:20:24.000-04:00,205,13,1.0,0.0,0.0
57,82521850,Samsung s8,3,BAIRESIT,2005-07-14T11:07:26.000-04:00,18672,788,0.98,0.01,0.01
58,82895205,Iphone 7,1,AGUSTINACOSTA,2005-07-19T21:51:56.000-04:00,1067,35,0.98,0.0,0.02
59,83938945,Samsung s8,1,RENGOCALLEJE,2005-08-15T14:15:30.000-04:00,27,11,1.0,0.0,0.0
60,84488765,Samsung s8,1,AMOBLAMIENTOS 2001,2005-09-07T11:13:43.000-04:00,6714,502,1.0,0.0,0.0
61,84564565,Samsung s8,1,DIGITALNEX,2005-09-09T11:45:27.000-04:00,482,51,0.98,0.02,0.0
62,85702720,Iphone 7,1,GUIDOFD,2005-09-28T15:18:34.000-04:00,36,7,1.0,0.0,0.0
63,87136421,Moto X Style,1,INVADER13,2005-11-18T14:30:57.000-04:00,161,4,0.98,0.02,0.0
64,89312402,Iphone 7,1,JULIOMGOMEZ,2009-10-07T21:10:45.000-04:00,15,3,1.0,0.0,0.0
65,89656510,Moto X Style,1,GUERRA2490,2005-12-04T02:05:54.000-04:00,52,2,1.0,0.0,0.0
66,90059416,Samsung s8,1,MARIA_AMELIA4917,2005-12-20T07:14:46.000-04:00,18,3,0.84,0.0,0.16
67,90262631,Iphone 7,3,ALIAS PRODUCCIONES,2005-12-28T21:45:20.000-04:00,13205,1027,0.98,0.01,0.01
68,91315309,Iphone 7,1,MARTIN.BRUHN,2006-02-02T12:13:34.000-04:00,11,1,1.0,0.0,0.0
69,91813348,Moto X Style,5,IDEN-NEXTEL VENTAS,2006-02-17T00:08:34.000-04:00,161,7,1.0,0.0,0.0
70,91842727,Samsung s8,1,MAXI-JUAREZ,2006-02-20T12:29:57.000-04:00,66,26,0.99,0.01,0.0
71,92099663,Iphone 7,2,MARVERICKK,2006-03-02T11:08:09.000-04:00,132,11,1.0,0.0,0.0
72,93415480,Iphone 7,1,GOMPA25,2006-04-19T13:00:18.000-04:00,66,46,1.0,0.0,0.0
73,97403953,Iphone 7,1,LUIS0512,2006-08-14T14:23:25.000-04:00,227,1,1.0,0.0,0.0
74,103182865,Samsung s8,1,MAUROFLUGEL,2012-02-18T22:17:44.000-04:00,4277,217,0.99,0.01,0.0
75,105665176,Iphone 7,1,TODOSLOSRUBROS,2012-03-15T13:25:00.000-04:00,9749,174,1.0,0.0,0.0
76,108754202,Moto X Style,1,NATALIAKUBA,2013-06-09T19:26:28.000-04:00,6,2,1.0,0.0,0.0
77,109550524,Iphone 7,1,ENCUENTRODIGITAL2015,2012-04-17T09:52:25.000-04:00,62,28,1.0,0.0,0.0
78,113506730,Samsung s8,1,CARRANZAMATIAS60,2012-05-20T22:21:00.000-04:00,100,5,1.0,0.0,0.0
79,119914491,Iphone 7,3,GAMESTATION ARG,2012-08-22T11:06:10.000-04:00,44651,2798,0.99,0.0,0.01
80,119914491,Moto X Style,2,GAMESTATION ARG,2012-08-22T11:06:10.000-04:00,44651,2798,0.99,0.0,0.01
81,119914491,Samsung s8,2,GAMESTATION ARG,2012-08-22T11:06:10.000-04:00,44651,2798,0.99,0.0,0.01
82,120226721,Iphone 7,1,SC DECO,2012-08-25T21:49:06.000-04:00,173,25,0.99,0.0,0.01
83,122761332,Iphone 7,1,MUNIZLUCIANO60,2012-09-14T00:40:14.000-04:00,862,132,0.97,0.01,0.02
84,124358771,Iphone 7,2,IZALO TECNOHOGAR,2012-09-21T17:16:50.000-04:00,6571,253,0.99,0.0,0.01
85,126900881,Samsung s8,1,RODOLFOLEBRINOCACERES,2012-10-10T10:38:54.000-04:00,64,7,0.99,0.0,0.01
86,126941525,Iphone 7,1,MARAVICTORIALAMOTA,2012-10-10T20:49:18.000-04:00,66,1,0.99,0.01,0.0
